AccidentID,Date,Time,Local Authority ONS District,Latitude,Longitude,Sum of Accident Vehicle Count,CasualtyCount,Accident Severity
8703942,2022-01-01 00:00:00,22:45,Enfield,51.681709,'-0.026169,3,3,Fatal
8733132,2022-01-01 00:00:00,04:24,Wigan,53.51031,'-2.604578,1,1,Fatal
8733134,2022-01-01 00:00:00,13:38,Tameside,53.488013,'-2.152433,3,1,Fatal
8737616,2022-01-01 00:00:00,09:05,Newcastle upon Tyne,54.967068,'-1.575354,2,1,Fatal
8765358,2022-01-01 00:00:00,02:55,North Northamptonshire,52.402513,'-0.706993,2,1,Fatal
8782943,2022-01-01 00:00:00,14:41,Reigate and Banstead,51.268863,'-0.250642,3,1,Fatal
8796895,2022-01-01 00:00:00,02:18,"Bristol, City of",51.474259,'-2.560728,2,1,Fatal
8733136,2022-01-02 00:00:00,22:02,Tameside,53.454796,'-2.029086,1,1,Fatal
8767536,2022-01-02 00:00:00,00:30,Broadland,52.663317,1.476352,1,1,Fatal
8789712,2022-01-02 00:00:00,19:45,Horsham,50.991925,'-0.278972,4,1,Fatal
8730872,2022-01-03 00:00:00,10:10,Wirral,53.320014,'-3.080125,2,3,Fatal
8749633,2022-01-04 00:00:00,15:19,Hartlepool,54.692205,'-1.218923,2,1,Fatal
8765357,2022-01-05 00:00:00,09:00,North Northamptonshire,52.488592,'-0.474711,2,1,Fatal
8771520,2022-01-05 00:00:00,07:13,Welwyn Hatfield,51.739284,'-0.125382,2,2,Fatal
8785728,2022-01-05 00:00:00,20:15,Sevenoaks,51.244656,0.199688,3,4,Fatal
8796896,2022-01-05 00:00:00,20:23,North Somerset,51.357908,'-2.939578,1,1,Fatal
8798275,2022-01-05 00:00:00,19:26,Sedgemoor,51.157408,'-2.981558,2,1,Fatal
8802483,2022-01-05 00:00:00,11:25,Gwynedd,52.949113,'-3.994347,1,1,Fatal
8733150,2022-01-06 00:00:00,18:31,Manchester,53.463104,'-2.258004,2,1,Fatal
8779503,2022-01-06 00:00:00,22:00,Winchester,51.176778,'-1.323926,1,1,Fatal
8728126,2022-01-07 00:00:00,12:42,West Lancashire,53.646455,'-2.820929,2,2,Fatal
8745767,2022-01-07 00:00:00,13:28,Rotherham,53.471094,'-1.358932,1,1,Fatal
8779507,2022-01-07 00:00:00,15:23,East Hampshire,51.110072,'-0.945548,3,3,Fatal
8704214,2022-01-08 00:00:00,00:52,Redbridge,51.603246,0.049086,2,4,Fatal
8771524,2022-01-08 00:00:00,03:19,Broxbourne,51.773482,'-0.023326,2,1,Fatal
8779517,2022-01-08 00:00:00,18:53,Basingstoke and Deane,51.26529,'-1.133319,2,4,Fatal
8704270,2022-01-09 00:00:00,10:15,Hillingdon,51.525688,'-0.416313,1,1,Fatal
8745719,2022-01-09 00:00:00,23:20,Rotherham,53.507629,'-1.343363,2,1,Fatal
8750314,2022-01-09 00:00:00,10:46,Walsall,52.592327,'-2.014999,2,1,Fatal
8773334,2022-01-09 00:00:00,10:28,Braintree,51.825499,0.562016,3,2,Fatal
8779519,2022-01-09 00:00:00,10:00,Portsmouth,50.794699,'-1.066864,1,1,Fatal
8733157,2022-01-10 00:00:00,23:46,Manchester,53.47418,'-2.220889,1,3,Fatal
8739490,2022-01-10 00:00:00,07:21,County Durham,54.797653,'-1.526175,3,3,Fatal
8741365,2022-01-10 00:00:00,19:02,Leeds,53.730906,'-1.511917,2,1,Fatal
8773342,2022-01-10 00:00:00,12:55,Epping Forest,51.691065,0.014924,2,3,Fatal
8799667,2022-01-10 00:00:00,11:00,Wiltshire,51.301325,'-2.228865,2,3,Fatal
8805836,2022-01-10 00:00:00,10:00,South Lanarkshire,55.598024,'-3.782306,3,2,Fatal
8735974,2022-01-11 00:00:00,16:40,Cheshire East,53.134803,'-2.335834,1,1,Fatal
8750309,2022-01-11 00:00:00,21:54,Birmingham,52.467915,'-1.97636,1,3,Fatal
8779536,2022-01-11 00:00:00,13:10,Isle of Wight,50.728182,'-1.263129,2,3,Fatal
8782997,2022-01-11 00:00:00,01:54,Guildford,51.250826,'-0.563377,1,1,Fatal
8783001,2022-01-11 00:00:00,08:04,Reigate and Banstead,51.283005,'-0.266681,2,1,Fatal
8728151,2022-01-12 00:00:00,18:15,South Ribble,53.692475,'-2.717481,1,1,Fatal
8750310,2022-01-12 00:00:00,10:00,Solihull,52.417787,'-1.729943,2,1,Fatal
8805854,2022-01-12 00:00:00,17:03,Highland,57.57642,'-3.798302,2,1,Fatal
8728153,2022-01-13 00:00:00,08:50,Blackpool,53.822297,'-3.052885,2,1,Fatal
8766091,2022-01-13 00:00:00,22:25,Huntingdonshire,52.337937,'-0.206808,1,1,Fatal
8769082,2022-01-13 00:00:00,01:50,East Suffolk,52.421947,1.506275,1,1,Fatal
8770244,2022-01-13 00:00:00,00:30,Bedford,52.118261,'-0.434949,1,1,Fatal
8798744,2022-01-13 00:00:00,17:00,Forest of Dean,51.751266,'-2.598978,3,2,Fatal
8801054,2022-01-13 00:00:00,11:39,"Bournemouth, Christchurch and Poole",50.737775,'-1.745167,1,1,Fatal
8805863,2022-01-13 00:00:00,19:15,North Lanarkshire,55.852273,'-4.020243,1,1,Fatal
8805897,2022-01-13 00:00:00,18:35,South Lanarkshire,55.813369,'-4.220272,1,1,Fatal
8741415,2022-01-14 00:00:00,12:42,Leeds,53.755982,'-1.354012,2,1,Fatal
8755789,2022-01-14 00:00:00,15:07,Shropshire,52.761758,'-2.716429,2,2,Fatal
8779575,2022-01-14 00:00:00,18:09,Winchester,50.923637,'-1.246175,2,1,Fatal
8785768,2022-01-14 00:00:00,16:35,Thanet,51.344286,1.430783,2,1,Fatal
8704672,2022-01-15 00:00:00,07:08,Newham,51.519594,0.051282,2,1,Fatal
8704693,2022-01-15 00:00:00,16:59,Merton,51.405504,'-0.164082,1,1,Fatal
8728165,2022-01-15 00:00:00,13:30,Wyre,53.871799,'-2.811862,1,1,Fatal
8760288,2022-01-15 00:00:00,18:11,Mansfield,53.167829,'-1.238374,3,2,Fatal
8783032,2022-01-15 00:00:00,08:06,Mole Valley,51.2415,'-0.291551,2,1,Fatal
8796929,2022-01-15 00:00:00,17:35,"Bristol, City of",51.434684,'-2.616837,1,3,Fatal
8755262,2022-01-16 00:00:00,16:46,Stafford,52.903743,'-2.161091,2,5,Fatal
8762205,2022-01-16 00:00:00,09:48,North Kesteven,53.204245,'-0.357189,2,5,Fatal
8766071,2022-01-16 00:00:00,18:45,Fenland,52.6603,0.165754,2,1,Fatal
8766160,2022-01-16 00:00:00,00:40,Peterborough,52.637911,'-0.48609,3,6,Fatal
8793608,2022-01-16 00:00:00,14:35,East Devon,50.795702,'-3.137771,2,6,Fatal
8741446,2022-01-17 00:00:00,10:52,Wakefield,53.667282,'-1.487028,1,2,Fatal
8751369,2022-01-17 00:00:00,18:07,Solihull,52.429278,'-1.79835,1,1,Fatal
8755851,2022-01-17 00:00:00,11:00,Malvern Hills,52.114227,'-2.32701,1,1,Fatal
8757438,2022-01-17 00:00:00,08:46,Nuneaton and Bedworth,52.460613,'-1.48728,2,3,Fatal
8766080,2022-01-17 00:00:00,06:45,Huntingdonshire,52.423034,'-0.268626,4,2,Fatal
8779588,2022-01-17 00:00:00,06:42,Portsmouth,50.790957,'-1.102279,1,1,Fatal
8783053,2022-01-17 00:00:00,18:28,Runnymede,51.382772,'-0.525048,2,2,Fatal
8798750,2022-01-17 00:00:00,11:16,Cotswold,51.861499,'-2.030303,2,6,Fatal
8805919,2022-01-17 00:00:00,16:00,North Ayrshire,55.725838,'-4.71373,2,1,Fatal
8745773,2022-01-18 00:00:00,05:58,Barnsley,53.525158,'-1.470524,2,3,Fatal
8770258,2022-01-18 00:00:00,15:25,Central Bedfordshire,51.937584,'-0.552064,1,5,Fatal
8786169,2022-01-18 00:00:00,14:19,Medway,51.373519,0.457994,2,2,Fatal
8755265,2022-01-19 00:00:00,11:15,Staffordshire Moorlands,53.018011,'-2.072286,2,1,Fatal
8755820,2022-01-19 00:00:00,20:17,Shropshire,52.84898,'-3.079515,3,4,Fatal
8760321,2022-01-19 00:00:00,19:51,Newark and Sherwood,53.052924,'-1.059238,2,1,Fatal
8760354,2022-01-19 00:00:00,13:07,Bassetlaw,53.294286,'-0.823298,2,2,Fatal
8769100,2022-01-19 00:00:00,11:42,Mid Suffolk,52.233851,0.895354,2,2,Fatal
8783066,2022-01-19 00:00:00,22:50,Surrey Heath,51.349399,'-0.58389,2,3,Fatal
8785804,2022-01-19 00:00:00,08:50,Swale,51.323032,0.873756,2,1,Fatal
8785807,2022-01-19 00:00:00,17:45,Sevenoaks,51.384129,0.209834,2,2,Fatal
8803914,2022-01-19 00:00:00,10:53,Merthyr Tydfil,51.757997,'-3.395131,1,1,Fatal
8760332,2022-01-20 00:00:00,02:44,Broxtowe,52.957225,'-1.272341,3,2,Fatal
8773422,2022-01-20 00:00:00,17:38,Epping Forest,51.649576,0.115011,1,1,Fatal
8802508,2022-01-20 00:00:00,02:51,Gwynedd,53.210734,'-4.179321,4,2,Fatal
8741508,2022-01-21 00:00:00,06:40,Bradford,53.79969,'-1.715414,3,1,Fatal
8762226,2022-01-21 00:00:00,14:36,Boston,52.978196,'-0.018456,2,1,Fatal
8805951,2022-01-21 00:00:00,22:20,Falkirk,55.975983,'-3.775982,2,3,Fatal
8705110,2022-01-22 00:00:00,02:35,Brent,51.5457,'-0.27323,1,1,Fatal
8740145,2022-01-22 00:00:00,14:51,Hambleton,54.344814,'-1.432607,2,1,Fatal
8741523,2022-01-22 00:00:00,05:06,Kirklees,53.734652,'-1.734635,1,5,Fatal
8758358,2022-01-22 00:00:00,17:40,Chesterfield,53.233481,'-1.429109,2,1,Fatal
8779656,2022-01-22 00:00:00,04:03,New Forest,50.899185,'-1.482113,1,5,Fatal
